title,brand,price,original_price,discount,currency,availability,rating,url,retailer,scraped_at
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(65% OFF),INR,In Stock,"|
47",https://www.myntra.commobile-accessories/augen/augen-cartoon-characters-printed-fashion-mobile-accessories/39209626/buy,myntra.com,2026-04-22T17:01:35.150132+00:00
Luxury Kase Back Case Mobile Accessories,Luxury Kase,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/luxury+kase/luxury-kase-solid-printed-back-case-mobile-accessories/39047591/buy,myntra.com,2026-04-22T17:01:35.206632+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988350/buy,myntra.com,2026-04-22T17:01:35.252428+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988349/buy,myntra.com,2026-04-22T17:01:35.313872+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988347/buy,myntra.com,2026-04-22T17:01:35.363515+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988346/buy,myntra.com,2026-04-22T17:01:35.410689+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-fashion-mobile-accessories/38988345/buy,myntra.com,2026-04-22T17:01:35.460570+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988344/buy,myntra.com,2026-04-22T17:01:35.512930+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988342/buy,myntra.com,2026-04-22T17:01:35.560501+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988341/buy,myntra.com,2026-04-22T17:01:35.607715+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(71% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-cartoon-characters-printed-fashion-mobile-accessories/38988340/buy,myntra.com,2026-04-22T17:01:35.652037+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(75% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988339/buy,myntra.com,2026-04-22T17:01:35.704252+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(75% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-fashion-mobile-accessories/38988338/buy,myntra.com,2026-04-22T17:01:35.765416+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(75% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-fashion-mobile-accessories/38988336/buy,myntra.com,2026-04-22T17:01:35.814177+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(75% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988335/buy,myntra.com,2026-04-22T17:01:35.863317+00:00
